electoral_district_name,candidate,party
TIMMINS--JAMES BAY,SADIQ,
TORONTO--DANFORTH,ARMSTRONG,
TORONTO--DANFORTH,AZAROGHLI,
TORONTO--DANFORTH,LUISI,
TORONTO--DANFORTH,NEWMAN,
TORONTO--DANFORTH,PARLETTE,
TORONTO--DANFORTH,POWER,
TORONTO--DANFORTH,RICHARDSON,
TORONTO--DANFORTH,ROWLEY,
TORONTO--DANFORTH,SOLOMON,
TORONTO--DANFORTH,TABUNS,
TORONTO CENTRE,ABELL,
TORONTO CENTRE,ALEKSEYCHUK,
TORONTO CENTRE,DAYE,
TORONTO CENTRE,FALARDEAU,
TORONTO CENTRE,GARVIE,
TORONTO CENTRE,GOODWIN,
TORONTO CENTRE,MURRAY,
TORONTO CENTRE,NURSE,
TORONTO CENTRE,ROTENBERG,
TORONTO CENTRE,SELLAR,
TORONTO CENTRE,YAZDANFAR,
TRINITY--SPADINA,DONG,
TRINITY--SPADINA,ECHEVARRIA,
TRINITY--SPADINA,FIGUEIRAS,
TRINITY--SPADINA,GRANT,
TRINITY--SPADINA,KING,
TRINITY--SPADINA,MARCHESE,
TRINITY--SPADINA,SCOTT,
VAUGHAN,COLETTA,
VAUGHAN,DEL DUCA,
VAUGHAN,FABRIZIO,
VAUGHAN,MEFFE,
VAUGHAN,PANKHURST,
WELLAND,CAMPION,
WELLAND,CRIDLAND,
WELLAND,FORSTER,
WELLAND,MERCIER,
WELLAND,MURIK,
WELLINGTON--HALTON HILLS,ARNOTT,
WELLINGTON--HALTON HILLS,CARLUCCI,
WELLINGTON--HALTON HILLS,COUSINEAU,
WELLINGTON--HALTON HILLS,RODGERS,
WELLINGTON--HALTON HILLS,SPROULE,
WELLINGTON--HALTON HILLS,ZISTER,
WHITBY--OSHAWA,ELLIOTT,
WHITBY--OSHAWA,KELLY,
WHITBY--OSHAWA,KRISHNAN,
WHITBY--OSHAWA,LEADBETTER,
WHITBY--OSHAWA,THOM,
WILLOWDALE,BROWN,
WILLOWDALE,CECI,
WILLOWDALE,PUN,
WILLOWDALE,ZIMMER,
WINDSOR--TECUMSEH,DUPUIS,
WINDSOR--TECUMSEH,HATFIELD,
WINDSOR--TECUMSEH,MARSHALL,
WINDSOR--TECUMSEH,WRIGHT-ADAM,
WINDSOR--TECUMSEH,WRIGHT-BRANDON,
WINDSOR WEST,CHARIF,
WINDSOR WEST,DUROCHER,
WINDSOR WEST,GRETZKY,
WINDSOR WEST,LAU,
WINDSOR WEST,PIRUZZA,
YORK--SIMCOE,BOWMAN,
YORK--SIMCOE,CARRUTHERS,
YORK--SIMCOE,ELGIE,
YORK--SIMCOE,MUNRO,
YORK--SIMCOE,WALLACE,
YORK CENTRE,BORENSTEIN,
YORK CENTRE,CHERNIAK,
YORK CENTRE,FAGAN,
YORK CENTRE,KWINTER,
YORK CENTRE,YUFEST,
YORK SOUTH--WESTON,ALBANESE,
YORK SOUTH--WESTON,COMPTON,
YORK SOUTH--WESTON,FERREIRA,
YORK SOUTH--WESTON,FFRENCH,
YORK SOUTH--WESTON,HIGGINS,
YORK SOUTH--WESTON,ISSA,
YORK WEST,BAPTISTE,
YORK WEST,JARRETT,
YORK WEST,NATION,
YORK WEST,RAKOCEVIC,
YORK WEST,SCHWAUSS,
YORK WEST,SERGIO,
